detector,group,condition,camouflage,gamma,seed,n_nodes,auc,ap
GCAD,indirect,A,global,0.2,1,1000,0.5853684210526315,0.0606723181618863
GCAD,indirect,A,global,0.2,2,1000,0.6896631578947368,0.1287250788507391
GCAD,indirect,A,global,0.2,3,1000,0.6770947368421053,0.11447956137124
GCAD,indirect,A,global,0.2,4,1000,0.5202947368421051,0.0603352976749832
GCAD,indirect,A,global,0.3,0,1000,0.3083789473684211,0.0335168879051542
GCAD,indirect,A,global,0.3,1,1000,0.333221052631579,0.0347713550491309
GCAD,indirect,A,global,0.3,2,1000,0.4214105263157894,0.0418672243017192
GCAD,indirect,A,global,0.3,3,1000,0.4166315789473684,0.0402660828463828
GCAD,indirect,A,global,0.3,4,1000,0.3132,0.0343720470471137
GCAD,indirect,A,global,0.4,0,1000,0.1014526315789473,0.0272612944464974
GCAD,indirect,A,global,0.4,1,1000,0.1302947368421052,0.0279006255008962
GCAD,indirect,A,global,0.4,2,1000,0.2084421052631578,0.0300279331835474
GCAD,indirect,A,global,0.4,3,1000,0.1894526315789473,0.0293327943344878
GCAD,indirect,A,global,0.4,4,1000,0.1391578947368421,0.0277649236102276
GCAD,indirect,A,global,0.5,0,1000,0.0170105263157894,0.0260781117696113
GCAD,indirect,A,global,0.5,1,1000,0.0251157894736842,0.0261653754107649
GCAD,indirect,A,global,0.5,2,1000,0.0588210526315789,0.0265913894432806
GCAD,indirect,A,global,0.5,3,1000,0.0515368421052631,0.0264855707315408
GCAD,indirect,A,global,0.5,4,1000,0.0357894736842105,0.0261743662837748
GCAD,indirect,A,global,0.6,0,1000,0.001578947368421,0.0259404111294931
GCAD,indirect,A,global,0.6,1,1000,0.0026526315789473,0.0259396653578536
GCAD,indirect,A,global,0.6,2,1000,0.010378947368421,0.025996136355297
GCAD,indirect,A,global,0.6,3,1000,0.0074105263157894,0.0259821311091159
GCAD,indirect,A,global,0.6,4,1000,0.0069052631578947,0.0259593282014828
GCAD,indirect,A,global,0.7,0,1000,8.421052631579328e-05,0.0259274560296199
GCAD,indirect,A,global,0.7,1,1000,0.0001263157894736,0.0259273909204868
GCAD,indirect,A,global,0.7,2,1000,0.0013263157894736,0.0259317270221325
GCAD,indirect,A,global,0.7,3,1000,0.0006105263157894,0.0259308259459865
GCAD,indirect,A,global,0.7,4,1000,4.210526315789664e-05,0.0259273019030172
GCAD,indirect,A,global,0.8,0,1000,0.0,0.0259272355839443
GCAD,indirect,A,global,0.8,1,1000,0.0,0.0259272355839443
GCAD,indirect,A,global,0.8,2,1000,2.105263157894832e-05,0.0259272577213066
GCAD,indirect,A,global,0.8,3,1000,2.105263157894832e-05,0.0259272577213066
GCAD,indirect,A,global,0.8,4,1000,0.0,0.0259272355839443
GCAD,indirect,A,global,0.9,0,1000,0.0,0.0259272355839443
GCAD,indirect,A,global,0.9,1,1000,0.0,0.0259272355839443
GCAD,indirect,A,global,0.9,2,1000,0.0,0.0259272355839443
GCAD,indirect,A,global,0.9,3,1000,0.0,0.0259272355839443
GCAD,indirect,A,global,0.9,4,1000,0.0,0.0259272355839443
GCAD,indirect,A,global,1.0,0,1000,0.0,0.0259272355839443
GCAD,indirect,A,global,1.0,1,1000,0.0,0.0259272355839443
GCAD,indirect,A,global,1.0,2,1000,0.0,0.0259272355839443
GCAD,indirect,A,global,1.0,3,1000,0.0,0.0259272355839443
GCAD,indirect,A,global,1.0,4,1000,0.0,0.0259272355839443
GCAD+IDK,indirect,A,global,0.0,0,1000,0.8550947368421052,0.2162056665440718
GCAD+IDK,indirect,A,global,0.0,1,1000,0.8832947368421052,0.4059454986992811
GCAD+IDK,indirect,A,global,0.0,2,1000,0.915842105263158,0.5269967076312667
GCAD+IDK,indirect,A,global,0.0,3,1000,0.894421052631579,0.5650255912722608
GCAD+IDK,indirect,A,global,0.0,4,1000,0.7800736842105264,0.272942974153256
GCAD+IDK,indirect,A,global,0.1,0,1000,0.6920736842105263,0.0910797927543413
GCAD+IDK,indirect,A,global,0.1,1,1000,0.7737894736842105,0.1553640617768854
GCAD+IDK,indirect,A,global,0.1,2,1000,0.8256526315789474,0.3506008575721504
GCAD+IDK,indirect,A,global,0.1,3,1000,0.7908631578947368,0.2944420408555857
GCAD+IDK,indirect,A,global,0.1,4,1000,0.6707157894736843,0.1212925899386105
GCAD+IDK,indirect,A,global,0.2,0,1000,0.4725368421052632,0.0456035952496472
GCAD+IDK,indirect,A,global,0.2,1,1000,0.6571368421052632,0.0777526157169789
GCAD+IDK,indirect,A,global,0.2,2,1000,0.6845473684210526,0.152963571621593
GCAD+IDK,indirect,A,global,0.2,3,1000,0.6389578947368422,0.0932680078700339
GCAD+IDK,indirect,A,global,0.2,4,1000,0.4977684210526316,0.0528321168057828
