detector,camouflage,gamma,seed,n_seeds,condition,auc
CoLA,global,0.3,3,5,rand_feats,0.48806315789473687
CoLA,global,0.3,4,5,full,0.7224631578947369
CoLA,global,0.3,4,5,no_edges,0.5222736842105263
CoLA,global,0.3,4,5,rand_feats,0.5171368421052631
CoLA,global,0.4,0,5,full,0.6864842105263158
CoLA,global,0.4,0,5,no_edges,0.6489894736842106
CoLA,global,0.4,0,5,rand_feats,0.46187368421052627
CoLA,global,0.4,1,5,full,0.7935578947368421
CoLA,global,0.4,1,5,no_edges,0.7553473684210527
CoLA,global,0.4,1,5,rand_feats,0.5120210526315789
CoLA,global,0.4,2,5,full,0.7444421052631579
CoLA,global,0.4,2,5,no_edges,0.6531368421052631
CoLA,global,0.4,2,5,rand_feats,0.5403157894736843
CoLA,global,0.4,3,5,full,0.7518526315789473
CoLA,global,0.4,3,5,no_edges,0.6955368421052631
CoLA,global,0.4,3,5,rand_feats,0.4387368421052632
CoLA,global,0.4,4,5,full,0.684
CoLA,global,0.4,4,5,no_edges,0.6314526315789473
CoLA,global,0.4,4,5,rand_feats,0.4828421052631579
CoLA,global,0.5,0,5,full,0.7507157894736842
CoLA,global,0.5,0,5,no_edges,0.8177894736842105
CoLA,global,0.5,0,5,rand_feats,0.4463789473684211
CoLA,global,0.5,1,5,full,0.7801473684210525
CoLA,global,0.5,1,5,no_edges,0.7616421052631579
CoLA,global,0.5,1,5,rand_feats,0.5352210526315789
CoLA,global,0.5,2,5,full,0.7627368421052632
CoLA,global,0.5,2,5,no_edges,0.7538526315789473
CoLA,global,0.5,2,5,rand_feats,0.5188631578947368
CoLA,global,0.5,3,5,full,0.7492631578947369
CoLA,global,0.5,3,5,no_edges,0.8064
CoLA,global,0.5,3,5,rand_feats,0.4754526315789474
CoLA,global,0.5,4,5,full,0.7278105263157895
CoLA,global,0.5,4,5,no_edges,0.797578947368421
CoLA,global,0.5,4,5,rand_feats,0.4791789473684211
CoLA,global,0.6,0,5,full,0.7746947368421052
CoLA,global,0.6,0,5,no_edges,0.8911578947368421
CoLA,global,0.6,0,5,rand_feats,0.4312842105263158
CoLA,global,0.6,1,5,full,0.8042526315789474
CoLA,global,0.6,1,5,no_edges,0.9194947368421053
CoLA,global,0.6,1,5,rand_feats,0.4397052631578947
CoLA,global,0.6,2,5,full,0.7813684210526316
CoLA,global,0.6,2,5,no_edges,0.8553052631578947
CoLA,global,0.6,2,5,rand_feats,0.5274105263157896
CoLA,global,0.6,3,5,full,0.7765894736842105
CoLA,global,0.6,3,5,no_edges,0.8797263157894737
CoLA,global,0.6,3,5,rand_feats,0.46368421052631575
CoLA,global,0.6,4,5,full,0.7914105263157895
CoLA,global,0.6,4,5,no_edges,0.8911157894736842
CoLA,global,0.6,4,5,rand_feats,0.5529684210526316
CoLA,global,0.7,0,5,full,0.7533894736842105
CoLA,global,0.7,0,5,no_edges,0.9564
CoLA,global,0.7,0,5,rand_feats,0.5138315789473685
CoLA,global,0.7,1,5,full,0.810357894736842
CoLA,global,0.7,1,5,no_edges,0.9389263157894737
CoLA,global,0.7,1,5,rand_feats,0.4400842105263158
CoLA,global,0.7,2,5,full,0.7528
CoLA,global,0.7,2,5,no_edges,0.9702105263157895
CoLA,global,0.7,2,5,rand_feats,0.49475789473684206
CoLA,global,0.7,3,5,full,0.806
CoLA,global,0.7,3,5,no_edges,0.9674526315789475
CoLA,global,0.7,3,5,rand_feats,0.5122947368421052
CoLA,global,0.7,4,5,full,0.7483578947368421
CoLA,global,0.7,4,5,no_edges,0.9428421052631579
